id,minutes_late,minutes_early,on_time,fifteen_early,very_early,fifteen_late,very_late,has_issue,charge,order_num,zone_id,rating,batch_type,warehouse,refunded,replaced
234865522,0,53.93872972,0,0,1,0,0,0,226.27,55,27,0,delivery,993,0,0
234817122,0,53.88178562,0,0,1,0,0,0,75.1,2,18,4,picking_only,542,0.071428571,0.428571429
234706647,0,53.86674023,0,0,1,0,0,0,177.04,1,18,0,picking_only,542,0.153846154,0.153846154
234734171,0,53.81216742,0,0,1,0,0,0,78.56,17,18,0,picking_only,212,0.4,0
234792609,0,53.48435357,0,0,1,0,0,0,158.89,7,18,0,delivery,283,0.133333333,0
234667649,0,53.31590942,0,0,1,0,0,0,82.17,1,18,0,picking_only,542,0.5,0.25
234785229,0,52.94519798,0,0,1,0,0,0,87.54,1,18,4,picking_only,212,0.058823529,0.117647059
234722848,0,52.92929352,0,0,1,0,0,0,92.98,20,27,0,picking_only,263,0,0.260869565
234692798,0,52.58978743,0,0,1,0,0,0,108.51,2,18,0,picking_only,542,0.111111111,0.111111111
234748264,0,52.520731,0,0,1,0,0,0,91.06,1,18,5,picking_only,212,0.066666667,0
234775829,0,52.3258546,0,0,1,0,0,0,51.81,2,18,0,picking_only,212,0.222222222,0
234829807,0,52.17668122,0,0,1,0,0,0,125.8,31,27,5,picking_only,520,0.5,0
234746063,0,51.97451705,0,0,1,0,0,0,47.58,1,27,5,picking_only,520,0,0.071428571
234695842,0,51.82803818,0,0,1,0,0,0,53.38,13,27,0,picking_only,520,0.1,0.2
234787213,0,51.46052925,0,0,1,0,0,1,94.21,1,27,5,delivery,993,0.333333333,0
234724998,0,51.42240213,0,0,1,0,0,0,74.8,13,27,0,picking_only,263,0,0
234747983,0,51.23064878,0,0,1,0,0,0,89.94,25,27,0,picking_only,520,0,0
234746679,0,51.13701758,0,0,1,0,0,0,71.35,10,27,0,picking_only,521,0,0
234689048,0,50.95004258,0,0,1,0,0,0,65.23,1,27,5,picking_only,520,0.090909091,0.090909091
234746391,0,50.91295277,0,0,1,0,0,0,13.88,1,18,0,picking_only,542,0,0
234776876,0,50.90408837,0,0,1,0,0,0,74.31,1,27,5,picking_only,520,0,0.083333333
234814879,0,50.89899648,0,0,1,0,0,0,35.24,3,18,0,picking_only,542,0,0.2
234734019,0,50.82076215,0,0,1,0,0,0,159.74,1,18,4,picking_only,542,0.25,0
234682867,0,50.78922822,0,0,1,0,0,1,334.18,4,27,2,delivery,993,0.368421053,0
234682867,0,50.78922822,0,0,1,0,0,1,334.18,4,27,2,delivery,993,0.368421053,0
234740686,0,50.78198152,0,0,1,0,0,0,106.98,2,34,5,delivery,283,0.142857143,0
234759147,0,50.70516898,0,0,1,0,0,0,66.53,62,27,0,picking_only,521,0.071428571,0.142857143
234768041,0,50.68388547,0,0,1,0,0,0,201.63,50,18,0,delivery,283,0.5,0
234775475,0,50.39125353,0,0,1,0,0,1,60.36,3,18,0,picking_only,542,0.2,0.266666667
234726055,0,50.32428303,0,0,1,0,0,0,90.71,2,18,5,delivery,283,0,0
234763322,0,50.21442105,0,0,1,0,0,0,70.29,1,18,5,picking_only,542,0.25,0.125
234845564,0,50.18345343,0,0,1,0,0,0,219.37,13,34,5,delivery,523,0.09375,0.0625
234806001,0,50.16621602,0,0,1,0,0,0,43.55,9,27,5,delivery,993,0,0
234712863,0,50.1450755,0,0,1,0,0,0,39.64,4,34,0,delivery,327,0,0
234823128,0,49.92689035,0,0,1,0,0,0,68.4,1,18,0,picking_only,542,0.055555556,0.111111111
234803595,0,49.92002252,0,0,1,0,0,0,119.01,1,18,0,picking_only,542,0.25,0.125
234690713,0,49.85934458,0,0,1,0,0,0,44.83,15,18,0,picking_only,542,0,0.333333333
234704774,0,49.70802668,0,0,1,0,0,0,111.91,11,27,1,delivery,284,0,0
234815824,0,49.57441173,0,0,1,0,0,0,41.22,14,18,5,picking_only,542,0,0.25
